"GEO_ID","NAME","B02001_001E","B02001_001EA","B02001_001M","B02001_001MA","B02001_002E","B02001_002EA","B02001_002M","B02001_002MA","B02001_003E","B02001_003EA","B02001_003M","B02001_003MA","B02001_004E","B02001_004M","B02001_004MA","B02001_004EA","B02001_005E","B02001_005EA","B02001_005M","B02001_005MA","B02001_006E","B02001_006EA","B02001_006M","B02001_006MA","B02001_007E","B02001_007M","B02001_007MA","B02001_007EA","B02001_008E","B02001_008M","B02001_008MA","B02001_008EA","B02001_009E","B02001_009M","B02001_009MA","B02001_009EA","B02001_010E","B02001_010EA","B02001_010M","B02001_010MA",
"Geography","Geographic Area Name","Estimate!!Total:","Annotation of Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Estimate!!Total:!!White alone","Annotation of Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Annotation of Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Annotation of Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Annotation of Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total:!!American Indian and Alaska Native alone","Annotation of Estimate!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Annotation of Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Annotation of Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Annotation of Margin of Error!!Total:!!Some other race alone","Annotation of Estimate!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Annotation of Margin of Error!!Total:!!Two or more races:","Annotation of Estimate!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Annotation of Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Annotation of Estimate!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"0500000US44009","Washington County, Rhode Island","130592","null","*****","*****","117629","null","1023","null","1267","null","674","null","402","273","null","null","2909","null","597","null","185","null","296","null","998","437","null","null","7202","1136","null","null","3045","1025","null","null","4157","null","962","null",
"0500000US45003","Aiken County, South Carolina","170776","null","*****","*****","110346","null","1876","null","39908","null","2623","null","113","101","null","null","1850","null","542","null","0","null","226","null","1886","899","null","null","16673","3299","null","null","10226","2015","null","null","6447","null","2589","null",
"0500000US45007","Anderson County, South Carolina","206908","null","*****","*****","157426","null","1026","null","25550","null","2152","null","1594","843","null","null","2424","null","570","null","43","null","60","null","4068","1437","null","null","15803","2489","null","null","4316","1464","null","null","11487","null","2267","null",
"0500000US45013","Beaufort County, South Carolina","191748","null","*****","*****","133890","null","1930","null","29331","null","1750","null","659","894","null","null","2836","null","680","null","0","null","226","null","11921","2502","null","null","13111","2761","null","null","7147","2249","null","null","5964","null","1918","null",
"0500000US45015","Berkeley County, South Carolina","236701","null","*****","*****","147786","null","1896","null","55589","null","2593","null","562","364","null","null","6090","null","1127","null","147","null","238","null","5159","2197","null","null","21368","3637","null","null","11053","2548","null","null","10315","null","2606","null",
"0500000US45019","Charleston County, South Carolina","413024","null","*****","*****","273019","null","1599","null","99698","null","3195","null","3522","3623","null","null","7001","null","1039","null","716","null","544","null","10103","3270","null","null","18965","3748","null","null","7951","2847","null","null","11014","null","2597","null",
"0500000US45035","Dorchester County, South Carolina","163327","null","*****","*****","103136","null","2091","null","43270","null","1326","null","420","382","null","null","3523","null","599","null","0","null","226","null","4891","2315","null","null","8087","2267","null","null","3974","1968","null","null","4113","null","1166","null",
"0500000US45041","Florence County, South Carolina","136504","null","*****","*****","68671","null","789","null","59061","null","1090","null","232","195","null","null","1938","null","542","null","39","null","69","null","2708","1394","null","null","3855","1034","null","null","1950","882","null","null","1905","null","754","null",
"0500000US45045","Greenville County, South Carolina","533834","null","*****","*****","358437","null","2125","null","83590","null","4044","null","3888","1817","null","null","13628","null","1167","null","0","null","226","null","27165","4378","null","null","47126","5673","null","null","25077","4353","null","null","22049","null","3706","null",
"0500000US45047","Greenwood County, South Carolina","69241","null","*****","*****","42576","null","1622","null","20794","null","994","null","163","165","null","null","344","null","192","null","0","null","226","null","1142","1181","null","null","4222","1526","null","null","1123","841","null","null","3099","null","1213","null",
"0500000US45051","Horry County, South Carolina","365579","null","*****","*****","282144","null","3014","null","44655","null","1546","null","733","309","null","null","4249","null","1123","null","122","null","159","null","6682","2434","null","null","26994","3605","null","null","16251","3100","null","null","10743","null","2368","null",
"0500000US45055","Kershaw County, South Carolina","66130","null","*****","*****","44979","null","1106","null","14709","null","1198","null","43","54","null","null","231","null","385","null","0","null","226","null","2492","877","null","null","3676","1282","null","null","1010","879","null","null","2666","null","1082","null",
"0500000US45057","Lancaster County, South Carolina","100336","null","*****","*****","71123","null","1996","null","16679","null","2173","null","922","1191","null","null","1995","null","343","null","237","null","390","null","3144","2186","null","null","6236","2397","null","null","2007","1870","null","null","4229","null","1466","null",
"0500000US45059","Laurens County, South Carolina","67803","null","*****","*****","45149","null","914","null","15238","null","1318","null","11","20","null","null","234","null","307","null","114","null","186","null","3363","821","null","null","3694","1320","null","null","970","688","null","null","2724","null","1222","null",
"0500000US45063","Lexington County, South Carolina","300137","null","*****","*****","216932","null","2223","null","47401","null","1353","null","462","411","null","null","5852","null","957","null","0","null","226","null","5686","1985","null","null","23804","2522","null","null","15043","2281","null","null","8761","null","1790","null",
"0500000US45073","Oconee County, South Carolina","79203","null","*****","*****","67583","null","1242","null","3950","null","1535","null","234","221","null","null","123","null","164","null","0","null","226","null","1894","1284","null","null","5419","1518","null","null","1220","889","null","null","4199","null","1398","null",
"0500000US45075","Orangeburg County, South Carolina","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"0500000US45077","Pickens County, South Carolina","132229","null","*****","*****","112871","null","1371","null","5580","null","1665","null","369","362","null","null","2557","null","365","null","82","null","141","null","1790","1105","null","null","8980","2097","null","null","3008","1214","null","null","5972","null","1744","null",
